date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:11	2346/2346	---MC-	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/images/2.0/icon/singlehome_wh.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/singlehome_wh.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:12	3277/3277	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/icon/condo_wh.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/condo_wh.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:12	977728/977728	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/img/b53cca7.jpg	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/img/b53cca7.jpg	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:13	3495/3495	---MC-	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/images/2.0/icon/townhome_wh.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/townhome_wh.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:13	3243/3243	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/icon/shophouse_wh.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/shophouse_wh.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:13	4024/4024	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/fonts/ecff117.eot	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/fonts/ecff117.eot	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:14	4024/4024	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/fonts/ecff117.eot?	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/fonts/ecff117d41d.eot	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:14	3956/3956	---MC-	200	added ('OK')	font/woff	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/fonts/5fd4c33.woff	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/fonts/5fd4c33.woff	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:14	3880/3880	---MCZ	200	added ('OK')	font/ttf	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/fonts/4fe6f9c.ttf	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/fonts/4fe6f9c.ttf	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:14	8858/8858	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/img/c066c54.svg	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/img/c066c54.svg	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:14	1482/1482	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/img/699d005.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/img/699d005.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:15	2703/2703	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/img/96bc9d7.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/img/96bc9d7.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:15	3801/3801	---MC-	200	added ('OK')	image/gif	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/img/0aeca8b.gif	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/img/0aeca8b.gif	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:15	200756/200756	---MCZ	200	added ('OK')	font/ttf	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/_/fonts/f53251b.ttf	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/_/fonts/f53251b.ttf	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
